branch,year,lateby,NR
West Hempstead,2010,10,227
Ronk. (greenpt.),2010,10,1336
Port Washington,2010,8,1077
Port Jefferson,2010,10,723
Oyster Bay,2010,11,446
Montauk,2010,11,913
Long Beach,2010,9,503
Hunt. Hicks.,2010,9,1220
Hempstead,2010,9,461
Far Rockaway,2010,10,458
Babylon,2010,9,2173
West Hempstead,2011,10,286
Ronk. (greenpt.),2011,10,2295
Port Washington,2011,9,1415
Port Jefferson,2011,10,1266
Oyster Bay,2011,11,680
Montauk,2011,12,1607
Long Beach,2011,9,879
Hunt. Hicks.,2011,9,2089
Hempstead,2011,10,678
Far Rockaway,2011,9,715
Babylon,2011,9,3055
West Hempstead,2012,9,316
Ronk. (greenpt.),2012,10,2151
Port Washington,2012,8,1480
Port Jefferson,2012,9,1269
Oyster Bay,2012,10,590
Montauk,2012,11,1386
Long Beach,2012,9,721
Hunt. Hicks.,2012,9,1802
Hempstead,2012,10,591
Far Rockaway,2012,9,621
Babylon,2012,9,2821
West Hempstead,2013,8,380
Ronk. (greenpt.),2013,10,2454
Port Washington,2013,8,1904
Port Jefferson,2013,10,1129
Oyster Bay,2013,10,800
Montauk,2013,11,1512
Long Beach,2013,8,997
Hunt. Hicks.,2013,9,2094
Hempstead,2013,9,745
Far Rockaway,2013,9,721
Babylon,2013,9,3408
West Hempstead,2014,8,460
Ronk. (greenpt.),2014,9,2782
Port Washington,2014,8,2542
Port Jefferson,2014,10,1644
Oyster Bay,2014,10,829
Montauk,2014,11,1707
Long Beach,2014,8,1385
Hunt. Hicks.,2014,9,2990
Hempstead,2014,9,1033
Far Rockaway,2014,8,971
Babylon,2014,9,4196
West Hempstead,2015,8,509
Ronk. (greenpt.),2015,10,3164
Port Washington,2015,8,2958
Port Jefferson,2015,10,1694
Oyster Bay,2015,9,908
Montauk,2015,11,1686
Long Beach,2015,9,1480
Hunt. Hicks.,2015,9,3286
Hempstead,2015,9,1099
Far Rockaway,2015,8,989
Babylon,2015,9,4087
West Hempstead,2016,8,350
Ronk. (greenpt.),2016,10,2750
Port Washington,2016,8,2486
Port Jefferson,2016,10,1373
Oyster Bay,2016,10,874
Montauk,2016,11,1655
Long Beach,2016,8,1104
Hunt. Hicks.,2016,9,2535
Hempstead,2016,9,871
Far Rockaway,2016,8,753
Babylon,2016,9,3905
West Hempstead,2017,8,505
Ronk. (greenpt.),2017,9,3190
Port Washington,2017,8,3191
Port Jefferson,2017,10,1266
Oyster Bay,2017,10,953
Montauk,2017,11,1967
Long Beach,2017,8,1397
Hunt. Hicks.,2017,9,2713
Hempstead,2017,9,1275
Far Rockaway,2017,8,929
Babylon,2017,8,4575
West Hempstead,2018,9,357
Ronk. (greenpt.),2018,10,1709
Port Washington,2018,8,1389
Port Jefferson,2018,11,774
Oyster Bay,2018,9,609
Montauk,2018,12,862
Long Beach,2018,9,799
Hunt. Hicks.,2018,9,1440
Hempstead,2018,9,875
Far Rockaway,2018,9,615
Babylon,2018,9,2283
