branch,hour,year,NR
Babylon,0,2010,31
Babylon,1,2010,27
Babylon,2,2010,10
Babylon,3,2010,12
Babylon,4,2010,11
Babylon,5,2010,34
Babylon,6,2010,115
Babylon,7,2010,149
Babylon,8,2010,110
Babylon,9,2010,46
Babylon,10,2010,65
Babylon,11,2010,81
Babylon,12,2010,79
Babylon,13,2010,65
Babylon,14,2010,64
Babylon,15,2010,179
Babylon,16,2010,247
Babylon,17,2010,276
Babylon,18,2010,254
Babylon,19,2010,77
Babylon,20,2010,83
Babylon,21,2010,66
Babylon,22,2010,65
Babylon,23,2010,27
Babylon,0,2011,43
Babylon,1,2011,54
Babylon,2,2011,7
Babylon,3,2011,22
Babylon,4,2011,27
Babylon,5,2011,62
Babylon,6,2011,209
Babylon,7,2011,257
Babylon,8,2011,201
Babylon,9,2011,68
Babylon,10,2011,108
Babylon,11,2011,103
Babylon,12,2011,66
Babylon,13,2011,82
Babylon,14,2011,72
Babylon,15,2011,177
Babylon,16,2011,285
Babylon,17,2011,374
Babylon,18,2011,392
Babylon,19,2011,100
Babylon,20,2011,133
Babylon,21,2011,90
Babylon,22,2011,73
Babylon,23,2011,50
Babylon,0,2012,36
Babylon,1,2012,52
Babylon,2,2012,10
Babylon,3,2012,13
Babylon,4,2012,28
Babylon,5,2012,43
Babylon,6,2012,160
Babylon,7,2012,187
Babylon,8,2012,161
Babylon,9,2012,54
Babylon,10,2012,82
Babylon,11,2012,109
Babylon,12,2012,74
Babylon,13,2012,115
Babylon,14,2012,122
Babylon,15,2012,141
Babylon,16,2012,374
Babylon,17,2012,307
Babylon,18,2012,321
Babylon,19,2012,92
Babylon,20,2012,104
Babylon,21,2012,77
Babylon,22,2012,111
Babylon,23,2012,48
Babylon,0,2013,60
Babylon,1,2013,90
Babylon,2,2013,15
Babylon,3,2013,36
Babylon,4,2013,29
Babylon,5,2013,35
Babylon,6,2013,206
Babylon,7,2013,379
Babylon,8,2013,254
Babylon,9,2013,83
Babylon,10,2013,93
Babylon,11,2013,136
Babylon,12,2013,124
Babylon,13,2013,111
Babylon,14,2013,132
Babylon,15,2013,135
Babylon,16,2013,330
Babylon,17,2013,399
Babylon,18,2013,378
Babylon,19,2013,81
Babylon,20,2013,86
Babylon,21,2013,56
Babylon,22,2013,82
Babylon,23,2013,78
Babylon,0,2014,56
Babylon,1,2014,91
Babylon,2,2014,9
Babylon,3,2014,29
Babylon,4,2014,34
Babylon,5,2014,43
Babylon,6,2014,188
Babylon,7,2014,327
Babylon,8,2014,260
Babylon,9,2014,55
Babylon,10,2014,98
Babylon,11,2014,122
Babylon,12,2014,78
Babylon,13,2014,122
Babylon,14,2014,117
Babylon,15,2014,215
Babylon,16,2014,556
Babylon,17,2014,689
Babylon,18,2014,581
Babylon,19,2014,154
Babylon,20,2014,103
Babylon,21,2014,75
Babylon,22,2014,74
Babylon,23,2014,120
Babylon,0,2015,57
Babylon,1,2015,43
Babylon,2,2015,7
Babylon,3,2015,40
Babylon,4,2015,37
Babylon,5,2015,86
Babylon,6,2015,252
Babylon,7,2015,392
Babylon,8,2015,304
Babylon,9,2015,75
Babylon,10,2015,101
Babylon,11,2015,102
Babylon,12,2015,86
Babylon,13,2015,107
Babylon,14,2015,156
Babylon,15,2015,156
Babylon,16,2015,438
Babylon,17,2015,598
Babylon,18,2015,511
Babylon,19,2015,118
Babylon,20,2015,101
Babylon,21,2015,57
Babylon,22,2015,117
Babylon,23,2015,146
Babylon,0,2016,83
Babylon,1,2016,52
Babylon,2,2016,41
Babylon,3,2016,32
Babylon,4,2016,27
Babylon,5,2016,55
Babylon,6,2016,169
Babylon,7,2016,236
Babylon,8,2016,240
Babylon,9,2016,97
Babylon,10,2016,107
Babylon,11,2016,212
Babylon,12,2016,110
Babylon,13,2016,116
Babylon,14,2016,155
Babylon,15,2016,158
Babylon,16,2016,417
Babylon,17,2016,483
Babylon,18,2016,441
Babylon,19,2016,134
Babylon,20,2016,109
Babylon,21,2016,79
Babylon,22,2016,165
Babylon,23,2016,187
Babylon,0,2017,85
Babylon,1,2017,47
Babylon,2,2017,26
Babylon,3,2017,40
Babylon,4,2017,44
Babylon,5,2017,63
Babylon,6,2017,217
Babylon,7,2017,289
Babylon,8,2017,226
Babylon,9,2017,133
Babylon,10,2017,132
Babylon,11,2017,212
Babylon,12,2017,125
Babylon,13,2017,142
Babylon,14,2017,156
Babylon,15,2017,231
Babylon,16,2017,533
Babylon,17,2017,645
Babylon,18,2017,589
Babylon,19,2017,162
Babylon,20,2017,111
Babylon,21,2017,86
Babylon,22,2017,131
Babylon,23,2017,150
Babylon,0,2018,49
Babylon,1,2018,23
Babylon,2,2018,7
Babylon,3,2018,21
Babylon,4,2018,26
Babylon,5,2018,41
Babylon,6,2018,212
Babylon,7,2018,177
Babylon,8,2018,173
Babylon,9,2018,50
